Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
LITE,Lumentum Holdings Inc.,44.33,3.68,0.0767,1781000.000,1182000.000,2997000000.000,0,-0.1534
EPAM,"EPAM Systems, Inc.",208.99,5.95,0.0277,359027,814435,12116000000.000,28.67,-0.1533
GH,"Guardant Health, Inc.",31.75,1.61,0.0483,3031000.000,2222000.000,3885000000.000,0,-0.1533
PTCT,"PTC Therapeutics, Inc.",32.19,0.50,0.0153,434358,844445,2469000000.000,0,-0.1522
BG,Bunge Global SA,98.42,4.65,0.0451,1585000.000,1290000.00,13941000000.000,11.18,-0.1514
ENR,"Energizer Holdings, Inc.",30.67,0.10,0.0033,520325,542066,2202000000.000,25.99,-0.1511
SHTDF,Sinopharm Group Co. Ltd.,2.7,0,0,135208,5688,7468000000.000,6.75,-0.1509
BHF,"Brighthouse Financial, Inc.",45.92,2.92,0.0598,435173,463356,2852000000.000,0,-0.1509
MRVI,"Maravai LifeSciences Holdings, Inc.",9.37,0.26,0.027,1331000.000,2083000.000,2361000000.000,0,-0.1497
ARWR,"Arrowhead Pharmaceuticals, Inc.",26.22,1.24,0.0452,777100,1057000.000,3257000000.000,0,-0.149
ALIT,"Alight, Inc.",7.12,0.22,0.03,4967000.000,5984000.000,4024000000.000,0,-0.1483
ZM,"Zoom Video Communications, Inc.",58.49,0.48,0.0081,2364000.000,3158000.000,18090000000.00,21.58,-0.1481
ESLT,Elbit Systems Ltd.,181.2,1.87,0.0102,15209,27606,8194000000.000,35.74,-0.1481
PFE,Pfizer Inc.,30.43,0.22,0.0072,42185000.000,35887000.000,172434000000.000,0,-0.1471
VWAPY,Volkswagen AG,10.52,0.09,0.0085,99050,319580,55367000000.000,3.27,-0.1468
DT,"Dynatrace, Inc.",41.29,1.15,0.0271,4005000.000,3504000.000,12313000000.000,79.40,-0.1448
MRNA,"Moderna, Inc.",86.58,7.59,0.0806,10312000.000,4107000.000,33281000000.000,0,-0.1445
OVV,Ovintiv Inc.,41.59,2.89,0.065,4190000.00,3102000.000,10963000000.000,5.83,-0.1442
AAP,"Advance Auto Parts, Inc.",61.05,1.08,0.0174,1192000.000,1496000.000,3640000000.00,169.58,-0.1438
WBTN,WEBTOON Entertainment Inc.,19.7,0.87,0.0423,761723,822373,2500000000.0,0,-0.1435
CLF,Cleveland-Cliffs Inc.,13.95,0.69,0.0471,10152000.000,8957000.000,6529000000.000,155.00,-0.1426
GDS,GDS Holdings Limited,10.61,0.56,0.0501,1050000.00,1245000.000,2145000000.000,0,-0.1416
MUR,Murphy Oil Corporation,37.52,2.25,0.0566,1553000.000,1346000.000,5725000000.000,10.39,-0.1391
JAZZ,Jazz Pharmaceuticals plc,113.26,1.12,0.0098,708910,784961,6994000000.000,19.20,-0.1388
TS,Tenaris S.A.,28.18,0.60,0.0208,3501000.000,1910000.00,16062000000.000,6.02,-0.1385
PPG,"PPG Industries, Inc.",123.46,2.42,0.0192,1229000.000,1477000.000,28803000000.000,20.24,-0.1382
TEX,Terex Corporation,54.39,4.34,0.0739,1620000.00,962516,3639000000.000,7.45,-0.1382
NCLH,Norwegian Cruise Line Holdings Ltd.,15.93,1.42,0.0818,24551000.000,13481000.000,7004000000.000,16.42,-0.138
INST,"Instructure Holdings, Inc.",23.32,0.04,0.0017,807988,562409,3416000000.000,0,-0.1379
